spec_id,note,measure,n_stage1,n_ar,n_households,rho,eta_sd_pct,paper_eta_sd_pct,diff_from_paper_pct,abs_diff_from_paper_pct
table10_11_cash_goods_expense_mortgage,Tables 10/11 cash-good rows using FMLI expense summaries; mortgage is mortgage interest only.,benchmark,83152,55933,25947,-0.3958176403610778,20.581364108711007,19.6,0.9813641087110057,0.9813641087110057
table10_11_cash_goods_expense_mortgage,Tables 10/11 cash-good rows using FMLI expense summaries; mortgage is mortgage interest only.,excluding_food,82938,55805,25861,-0.3927067716659718,26.56642988271481,27.5,-0.9335701172851891,0.9335701172851891
table10_11_cash_goods_expense_mortgage,Tables 10/11 cash-good rows using FMLI expense summaries; mortgage is mortgage interest only.,excluding_food_property_taxes,82868,55740,25846,-0.39070246106604567,28.835453380556338,29.4,-0.5645466194436608,0.5645466194436608
table10_11_cash_goods_outlay_mortgage,Tables 10/11 cash-good rows using FMLI summaries plus main/vacation mortgage-principal outlays.,benchmark,83152,55933,25947,-0.39835291069464995,20.509338684504502,19.6,0.9093386845045011,0.9093386845045011
table10_11_cash_goods_outlay_mortgage,Tables 10/11 cash-good rows using FMLI summaries plus main/vacation mortgage-principal outlays.,excluding_food,82938,55805,25861,-0.39587438832281513,26.278874472737602,27.5,-1.221125527262398,1.221125527262398
table10_11_cash_goods_outlay_mortgage,Tables 10/11 cash-good rows using FMLI summaries plus main/vacation mortgage-principal outlays.,excluding_food_property_taxes,82868,55740,25846,-0.394454985357085,28.324223763082756,29.4,-1.0757762369172426,1.0757762369172426
table10_11_cash_goods_outlay_mortgage_add_cashco,"Outlay-mortgage construction plus CASHCO, because the main paper cash-good list includes cash contributions.",benchmark,83152,55933,25947,-0.39483694621992704,20.919734843811774,19.6,1.3197348438117729,1.3197348438117729
table10_11_cash_goods_outlay_mortgage_add_cashco,"Outlay-mortgage construction plus CASHCO, because the main paper cash-good list includes cash contributions.",excluding_food,82957,55814,25869,-0.39215701229277206,26.601704138432282,27.5,-0.8982958615677177,0.8982958615677177
table10_11_cash_goods_outlay_mortgage_add_cashco,"Outlay-mortgage construction plus CASHCO, because the main paper cash-good list includes cash contributions.",excluding_food_property_taxes,82889,55750,25855,-0.3902512076006809,28.52938704816373,29.4,-0.870612951836268,0.870612951836268
table10_11_cash_goods_outlay_mortgage_is_best_only,"Outlay-mortgage construction excluding Table 10 DS-best goods: food away, alcohol, and tobacco.",benchmark,83115,55912,25932,-0.39649218086682947,21.180417862619777,19.6,1.5804178626197753,1.5804178626197753
table10_11_cash_goods_outlay_mortgage_is_best_only,"Outlay-mortgage construction excluding Table 10 DS-best goods: food away, alcohol, and tobacco.",excluding_food,82938,55805,25861,-0.39587438832281513,26.278874472737602,27.5,-1.221125527262398,1.221125527262398
table10_11_cash_goods_outlay_mortgage_is_best_only,"Outlay-mortgage construction excluding Table 10 DS-best goods: food away, alcohol, and tobacco.",excluding_food_property_taxes,82868,55740,25846,-0.394454985357085,28.324223763082756,29.4,-1.0757762369172426,1.0757762369172426
table10_11_outlay_mortgage_cashco_plus_non_cash_comparators,Diagnostic only: adds Table 10/11 non-cash comparators auto repairs and medical expenses excluding insurance.,benchmark,83145,55923,25947,-0.39312631177622126,21.20523506136978,19.6,1.605235061369779,1.605235061369779
table10_11_outlay_mortgage_cashco_plus_non_cash_comparators,Diagnostic only: adds Table 10/11 non-cash comparators auto repairs and medical expenses excluding insurance.,excluding_food,82986,55829,25883,-0.38984483329799097,26.664575986988854,27.5,-0.8354240130111457,0.8354240130111457
table10_11_outlay_mortgage_cashco_plus_non_cash_comparators,Diagnostic only: adds Table 10/11 non-cash comparators auto repairs and medical expenses excluding insurance.,excluding_food_property_taxes,82936,55784,25871,-0.3890600565593827,28.459644729619022,29.4,-0.9403552703809765,0.9403552703809765
